ключ_клиента,оборот_mean,оборот_std,cv,ci_lower,ci_upper,транзакции_кол,концентрация,возраст,регион,когорта
1889,126352.19402985074,313683.04314807005,0.9371575208499586,7576.200000000001,167040.00000000003,67,0.41508342530361414,50,неизвестен,0
2213,49540.666666666664,59545.57366047921,1.4740734772800521,3928.65,93728.09999999999,18,0.5412220263487236,52,неизвестен,1
191765,26070.76923076923,49225.261153589156,1.225168431183831,787.8,55719.75000000001,52,0.4186223887643102,47,неизвестен,3
256820,43536.65,67468.42116126748,2.0312861309997348,6274.5,89771.29999999999,60,0.29990019902771575,43,неизвестен,6
282534,46339.229508196724,52080.16103145303,1.6284040870420247,5118.0,104274.0,61,0.20509903268589832,36,неизвестен,6
283148,66047.15909090909,99048.56596409094,2.150110515865582,3441.6,145575.44999999998,44,0.349136550157859,43,неизвестен,0
286878,25270.470588235294,26328.349315156458,0.8874307304785892,2062.8,53287.65000000001,34,0.2988945479262008,43,неизвестен,1
331214,25785.20588235294,47813.3059441674,1.248252886030837,1535.6999999999994,29223.29999999998,68,0.31590732031705365,40,неизвестен,6
378992,19969.35849056604,38627.926290612515,2.2364551863041293,1516.0,25144.199999999975,53,0.43786518212809056,38,неизвестен,2
405465,30074.571428571428,40031.043200424916,0.9514718250630793,2417.9999999999995,61460.39999999999,49,0.311997931671885,39,неизвестен,3
582257,162406.17857142858,586346.3747703445,1.9360881773605465,2599.5,127447.75,56,0.7193705024857209,36,неизвестен,0
591646,83712.76,146125.4109241182,1.7190495069131282,5576.05,168424.25,50,0.4016016196336138,41,неизвестен,0
653852,48564.698113207545,62552.10450242621,0.8122835648608845,6149.599999999999,96727.19999999985,53,0.28183994197198137,57,неизвестен,3
692721,23210.744680851065,33966.932256439286,1.157080536912752,2106.0,43043.30000000004,47,0.3218098734536921,39,неизвестен,3
774127,23626.891891891893,45979.6354515625,1.2911866969009826,536.4,40890.79999999993,37,0.5504698608434045,60,неизвестен,1
