ключ_клиента,тип,текущий_оборот,ожидаемый_диапазон,отклонение_%,приоритет
3576309,высокие расходы,121098.23076923077,"[5346, 112390]",40.09475688595549,высокий
3621723,высокие расходы,89625.77777777778,"[4135, 76398]",12.084050020900403,средний
3621723,высокие расходы,126985.25,"[4135, 76398]",24.562291313361115,средний
3621723,высокие расходы,187021.625,"[4135, 76398]",83.4526706429987,высокий
3621723,высокие расходы,134344.22222222222,"[4135, 76398]",31.78079285751551,высокий
3628362,низкие расходы,1770.0,"[2637, 28175]",87.49325903289592,высокий
3628362,низкие расходы,2094.0,"[2637, 28175]",85.20518219871087,высокий
3647877,высокие расходы,66994.85714285714,"[2083, 51460]",140.28979421044514,высокий
3725459,высокие расходы,24921.0,"[2048, 19466]",44.05613420435601,высокий
3725459,высокие расходы,199782.22222222222,"[2048, 19466]",348.46504181932903,высокий
3761420,высокие расходы,106008.63636363637,"[7845, 60401]",130.10361953846873,высокий
3866757,высокие расходы,22737.625,"[1967, 17485]",95.11824503093422,высокий
4041410,высокие расходы,47107.8,"[3410, 43377]",77.05505793058896,высокий
4049041,высокие расходы,133580.0,"[5400, 86658]",96.92673021195415,высокий
4049041,высокие расходы,93474.7,"[5400, 86658]",37.803010572413456,высокий
4079748,высокие расходы,384632.0,"[2368, 220300]",163.38645429560376,высокий
4115031,высокие расходы,1318303.111111111,"[10938, 605457]",192.76646198988644,высокий
4192619,высокие расходы,34268.0,"[3728, 25759]",138.38889758438984,высокий
4403061,высокие расходы,141227.66666666666,"[3900, 35502]",352.0705022341672,высокий
4536494,высокие расходы,40990.7,"[1480, 34525]",42.28535726062583,высокий
4536494,высокие расходы,38992.625,"[1480, 34525]",35.349884586681476,высокий
4841105,высокие расходы,76886.11111111111,"[2001, 72561]",109.74596508973946,высокий
4864631,высокие расходы,87402.5,"[4296, 73107]",15.177369892083542,средний
4864631,высокие расходы,260434.0,"[4296, 73107]",152.74481768070183,высокий
4864631,высокие расходы,159419.8,"[4296, 73107]",54.713387334696286,высокий
4974715,высокие расходы,97957.5,"[1877, 66439]",98.54925067883833,высокий
4974715,высокие расходы,86804.2,"[1877, 66439]",75.94294946356567,высокий
5010451,высокие расходы,133615.44444444444,"[13041, 111510]",101.78924239583966,высокий
5141252,высокие расходы,141345.77777777778,"[3992, 77261]",179.15711619869091,высокий
5167844,высокие расходы,89109.63636363637,"[4956, 67270]",15.969536379686472,средний
5167844,высокие расходы,141174.5,"[4956, 67270]",83.72730743791905,высокий
5167844,высокие расходы,125361.83333333333,"[4956, 67270]",63.14853371244967,высокий
5293275,высокие расходы,50252.57142857143,"[4650, 47400]",97.75489911367455,высокий
5327853,высокие расходы,217834.22222222222,"[5400, 120155]",156.77721321108197,высокий
5332002,высокие расходы,102000.0,"[9712, 98280]",102.79379960722892,высокий
5461094,высокие расходы,69036.25,"[4596, 23112]",211.81839900728372,высокий
7058420,высокие расходы,135171.16666666666,"[7701, 118983]",105.19606332909692,высокий
7170298,высокие расходы,120979.23076923077,"[3854, 97156]",108.16138754734949,высокий
7327026,высокие расходы,100092.1,"[2028, 62673]",131.4690373555932,высокий
7884391,высокие расходы,125359.5,"[4223, 25964]",313.0180191596128,высокий
7884391,низкие расходы,3261.0,"[4223, 25964]",89.25287647625323,высокий
7923824,высокие расходы,68244.81818181818,"[3105, 55605]",95.56026527527322,высокий
8871930,высокие расходы,69357.33333333333,"[1759, 53548]",98.72619705004914,высокий
8981949,высокие расходы,395935.4,"[2175, 78040]",115.73946909212766,высокий
8981949,высокие расходы,225106.4,"[2175, 78040]",22.657454491956823,средний
8981949,высокие расходы,123598.55555555556,"[2175, 78040]",32.65256112956906,высокий
8981949,высокие расходы,140959.16666666666,"[2175, 78040]",23.19303928660135,средний
8981949,высокие расходы,272891.0,"[2175, 78040]",48.694525685157764,высокий
9079983,высокие расходы,95640.85714285714,"[2496, 82969]",3.32143716297473,средний
9079983,высокие расходы,93718.71428571429,"[2496, 82969]",1.2449555014370837,средний
9079983,высокие расходы,98505.71428571429,"[2496, 82969]",6.416328522356078,средний
9079983,высокие расходы,138234.6,"[2496, 82969]",49.335252218623296,высокий
10001639,высокие расходы,257315.25,"[1723, 40364]",424.79324696589833,высокий
10390141,высокие расходы,72545.6,"[4142, 68259]",68.5795284695722,высокий
12218865,высокие расходы,51231.818181818184,"[3828, 48610]",64.34406824767088,высокий
12875378,высокие расходы,39147.0,"[2272, 21441]",279.87624187324116,высокий
15364421,высокие расходы,92852.6,"[4198, 64639]",65.7441866427714,высокий
16097858,высокие расходы,318191.7,"[14550, 315015]",65.3656462969001,высокий
16577142,высокие расходы,38846.0,"[1350, 21161]",128.53110952003112,высокий
17085030,высокие расходы,157666.0,"[4035, 73123]",158.89646845164367,высокий
17523822,низкие расходы,168.0,"[247, 1959]",83.63354638775905,высокий
17524655,высокие расходы,13459.333333333334,"[493, 12148]",22.457439313990324,средний
